81,128,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,87.0,77.0,8.6,368.0,E
82,129,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,97.0,68.0,8.6,1283.0,M
83,130,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,92.0,16.0,6.4,2527.0,M
84,131,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,76.0,28.0,9.0,222.0,E
85,132,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,85.0,46.0,8.8,597.0,E
86,134,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,83.0,94.0,7.1,1163.0,M
87,135,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,95.0,96.0,9.0,2316.0,M
88,136,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,92.0,61.0,8.6,439.0,E
89,139,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,87.0,22.0,8.1,78.0,T
90,140,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,91.0,96.0,7.8,1504.0,M
91,141,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,73.0,51.0,7.4,95.0,E10+
92,142,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,94.0,88.0,8.3,2295.0,M
93,144,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,96.0,42.0,8.7,1026.0,M
94,146,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,94.0,20.0,9.4,918.0,M
95,147,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,94.0,82.0,8.7,3558.0,M
96,149,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,95.0,98.0,9.1,8003.0,M
97,150,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,95.0,85.0,6.8,5311.0,E
98,151,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,89.0,13.0,9.2,364.0,M
99,153,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,89.0,8.0,8.9,102.0,T
100,154,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,76.0,95.0,6.1,5380.0,T
101,155,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,80.0,17.0,8.9,62.0,E10+
102,156,DS,2006.0,Simulation,505 Games,3.07,1.91,0.07,67.0,35.0,7.2,21.0,E
103,159,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,91.0,70.0,8.6,1202.0,M
104,160,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,81.0,77.0,7.7,1074.0,M
105,161,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,92.0,90.0,8.0,516.0,E
106,162,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,84.0,19.0,7.8,41.0,E
107,164,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,96.0,42.0,8.6,2162.0,T
108,165,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,97.0,14.0,7.9,764.0,M
109,166,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,93.0,24.0,8.3,108.0,E
110,169,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,66.0,22.0,7.1,156.0,E
111,170,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,85.0,45.0,7.6,409.0,M
112,171,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,93.0,113.0,7.9,7064.0,T
113,173,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,83.0,83.0,7.3,2483.0,T
114,176,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,84.0,61.0,6.7,1196.0,M
115,177,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,85.0,45.0,6.6,400.0,T
116,179,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,81.0,53.0,5.4,898.0,M
117,181,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,90.0,82.0,8.8,1305.0,M
118,185,WiiU,2012.0,Platform,Nintendo,2.3,1.34,1.27,84.0,70.0,8.1,733.0,E
119,188,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,85.0,72.0,8.6,147.0,E
120,190,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,90.0,48.0,6.1,403.0,E
121,192,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,88.0,86.0,4.0,9629.0,M
122,193,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,68.0,30.0,7.6,100.0,T
123,197,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,80.0,88.0,6.5,604.0,M
124,199,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,84.0,76.0,7.5,667.0,M
125,200,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,90.0,57.0,8.0,416.0,E
126,203,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,91.0,8.0,9.0,266.0,M
127,204,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,86.0,50.0,8.0,150.0,M
128,205,PS,1999.0,Sports,Activision,3.42,1.38,0.02,92.0,18.0,9.2,69.0,T
129,209,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,68.0,34.0,7.1,47.0,T
130,212,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,88.0,66.0,8.1,2306.0,T
131,218,PC,2010.0,Strategy,Activision,2.57,1.68,0.0,93.0,82.0,8.2,3052.0,T
132,219,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,81.0,40.0,7.3,769.0,M
133,220,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,92.0,101.0,8.7,2633.0,M
134,221,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,88.0,20.0,9.0,233.0,E
135,222,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,80.0,9.0,5.4,46.0,E
136,223,PS,2000.0,Action,Atari,2.36,2.1,0.02,62.0,14.0,7.7,92.0,T
137,224,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,94.0,87.0,8.7,1472.0,T
138,227,PS,2000.0,Sports,Activision,3.05,1.41,0.02,98.0,19.0,7.7,299.0,T
139,228,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,82.0,32.0,8.2,78.0,T
140,229,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,91.0,13.0,8.6,147.0,T
141,230,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,73.0,50.0,7.6,119.0,E
142,231,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,86.0,78.0,8.1,1264.0,T
143,234,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,86.0,36.0,8.4,87.0,T
144,235,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,86.0,74.0,8.4,458.0,E
145,236,X360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,91.0,83.0,8.2,617.0,E
146,242,XOne,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,84.0,101.0,6.4,2438.0,T
147,243,PS2,2002.0,Action,Activision,2.71,1.51,0.03,76.0,25.0,7.9,41.0,E
148,245,PS4,2016.0,Shooter,Activision,1.61,2.0,0.15,77.0,82.0,3.4,1129.0,M
149,246,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,94.0,75.0,8.9,997.0,M
150,247,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,81.0,88.0,8.5,1184.0,E10+
151,248,WiiU,2012.0,Misc,Nintendo,2.52,1.11,0.46,77.0,61.0,7.9,471.0,E10+
